Назва,Кількість слів,Кількість унікальних слів
+Bible_World English,794725,12798
+Chrysalis_Bradbury,7300,1830
+Don Quixote of la Mancha_Servantes,408923,15587
+LOTR_en,479264,14309
+Moby Dick_Melville,212480,18961
+Relativity_The special and general theory_Einstein,31080,3033
+Robinson_Crusoe,121164,6237
+Rowling_Harry Potter 1 Sorcerer's Stone,77597,6037
+Rowling_Harry Potter 2 The Chamber Of Secrets,85251,7536
+Rowling_Harry Potter 3 Prisoner of Azkaban,104918,7752
+Rowling_Harry Potter 4 The Goblet of Fire,191259,10856
+SD_article L=170,170,97
+The Jungle Book_Kipling,51136,4813
+The jungle book_Kipling_ini part,12861,1978
+The Jungle Book_Kipling_Mowgli etc,23884,2873
+The Odyssey_Homer,117916,6716
+The Origin of Species_Chapter 3,6310,1343
+The Origin of Species_Darwin,207365,9647
+The Three Musketeers_Dumas,184700,9760
+West of Eden_Harrison H,162858,7983
1Harry Potter and the Sorcerer's Stone1,76973,6628
2Harry Potter and the Chamber of Secrets,84962,7509
"Adams, Douglas - Last Chance to See",71001,7810
American Notes for General Circulation,103193,11070
Arthur C Clarke - Childhoods End,69925,8314
"Barker, Clive - Books of Blood 03",69571,8203
Beauty_and_The_Beast,85673,8989
"Berkeley, Anthony - Roger Sheringham 09",65323,5159
"Clarke, Arthur C - Cradle",140002,10624
Colonel_Starbottles_Client,53507,7478
"Cornwell, Bernard - The Winter King (Arthur)",177078,10615
"Cornwell, Bernard",93465,8759
Dandelion_Wine,68592,7266
Doyle Conan_Adventure,10676,2135
"Doyle, Arthur Conan - The White Company",151132,11435
entropy_wiki L=9000,9068,1566
"Forester, C- Hornblower and the Atropos",95169,8494
Frank_Merriwell_at_Yale,75506,5870
Hard Times,102942,9569
Hobb R._Assassin's Apprentice,157310,10829
hob_en,95385,6483
Jane_Talbot,83293,7243
Jordan R. The Eye of the World,297689,11420
"Lewis, C.S The Horse and His Boy",47496,4468
"Lewis, C.S The Last Battle",42938,3824
"Lewis, C.S The Silver Chair",50769,4557
lotr L=5000noenters,479155,14262
LOTR_en,479155,14262
lotr_en_no 'cannot',479609,14262
"Lumley, Brian - Hero of Dreams",59268,7068
"MacLean, Alistair - Where Eagles Dare",76635,7607
"MacLean, Alistar - HMS Ulysses",104307,10203
Marions_Faith,125731,10636
Martin G. A game of thrones,295833,11981
moment_wiki L=2000,1977,491
One_of_My_Sons,96519,7361
Ormond,94906,8548
Robinson_Crusoe,121083,6178
Rothfuss P. The Name of the Wind,256607,12725
She Is The Darkness - Glen Cook,159183,10155
Sons_and_Lovers,160984,9996
The Origin of Species_Darwin,206879,9771
The_Golden_Slipper,91627,7459
The_Lost_Girl,136288,11061
The_Poetical_Works_of_Alexan vol1,93307,11012
The_Secret_Adversary,75734,6800
The_Works_of_Christopher_Mar,70148,11052
